강력범죄,6215,1774,1084,1542,860,698,532,46,5815,504,1296,1119,1919,396,67,1467
교통범죄,74958,35841,39725,31163,23412,13556,16600,1056,141506,18416,34076,33453,72263,14438,2325,43877
기타범죄,41752,19868,9766,13677,5301,4602,4881,462,45409,4548,11530,11814,18988,4461,1341,17797
노동범죄,215,190,31,28,13,14,63,0,243,24,28,87,154,9,1,45
마약범죄,1360,759,393,557,69,78,67,2,1399,110,299,105,662,26,16,509
병역범죄,4591,959,800,1200,371,630,382,86,4595,265,1112,691,1839,242,155,808
보건범죄,3941,1832,417,654,760,204,230,15,3131,232,421,578,1140,168,36,843
선거범죄,24,24,18,19,9,8,15,5,83,15,51,63,133,23,3,267
안보범죄,38,4,4,20,3,4,2,0,16,1,13,3,6,0,1,6
절도범죄,55280,20136,12759,10679,8438,9495,5449,638,50522,4699,15457,11712,23962,4230,643,11754
지능범죄,72851,25247,14195,16938,9724,9112,6898,680,71370,5655,15652,14279,28778,4391,2495,17856
특별경제범죄,22075,13868,3421,5751,2535,1635,1289,187,17679,1307,2821,2480,5372,1251,1631,3027
폭력범죄,65247,20928,14708,18054,9602,8839,8277,452,71930,8036,15153,15021,27372,5518,825,15985
풍속범죄,6741,2085,1418,1580,592,689,403,29,5306,309,1097,1049,1617,407,119,1050
환경범죄,53,198,19,69,8,13,53,2,1192,57,140,143,429,46,30,503
